ホテル名,詳細ページURL,アクセス情報,価格情報,一人あたり価格,ホテルの評価,レビュー数
都シティ　東京高輪,"javascript:doYadDetailAd('397756','TGS01419110','115_1_1','2');",JR/京急「品川駅」・都営浅草線「泉岳寺駅」より徒歩約7分。JR「高輪ゲートウェイ駅」より徒歩約8分。,"21,674円～","1名 10,837円～",4.4,
品川プリンスホテル,"javascript:doYadDetailAd('340595','TGS01419110','115_1_2','2');",新幹線・JR線・京急線 品川駅（高輪口）より徒歩約2分。京急線 羽田空港国内線ターミナル駅より最速14分！,"18,072円～","1名 9,036円～",4.0,
ラビスタ東京ベイ（共立リゾート）,URLなし,新交通 ゆりかもめ「市場前駅」より徒歩約１分,"26,800円～","1名 13,400円～",4.6,
ハートンホテル東品川（品川シーサイド）,URLなし,りんかい線「品川シーサイド駅」Ａ出口徒歩1分。京浜急行線「青物横丁駅」徒歩10分,"9,280円～","1名 4,640円～",4.2,
相鉄グランドフレッサ 東京ベイ有明（旧ホテルサンルート有明）,URLなし,りんかい線国際展示場駅、ゆりかもめ東京ビッグサイト駅から徒歩3分。首都高湾岸線有明ランプより3分。,"11,050円～","1名 5,525円～",4.1,
品川プリンスホテル,URLなし,新幹線・JR線・京急線 品川駅（高輪口）より徒歩約2分。京急線 羽田空港国内線ターミナル駅より最速14分！,"18,072円～","1名 9,036円～",4.0,
ザ・プリンス パークタワー東京,URLなし,地下鉄大江戸線赤羽橋駅から徒歩2分/地下鉄三田線芝公園駅から徒歩3分/JR線浜松町駅から徒歩12分,"38,510円～","1名 19,255円～",5.0,
グランドニッコー東京 台場,URLなし,ゆりかもめ台場駅直結／りんかい線東京テレポート駅下車徒歩約10分／品川駅からお台場レインボーバス約20分,"25,400円～","1名 12,700円～",4.6,
ホテルインターコンチネンタル東京ベイ,URLなし,浜松町駅徒歩8分　大江戸線/浅草線大門駅徒歩10分　ゆりかもめ竹芝駅直結,"50,050円～","1名 25,025円～",4.8,
三井ガーデンホテル豊洲プレミア,URLなし,東京メトロ有楽町線豊洲駅（2番出口）直結,"23,600円～","1名 11,800円～",4.7,
静鉄ホテルプレジオ東京田町,URLなし,ＪＲ田町駅の芝浦口より徒歩5分／地下鉄三田駅Ａ４出口より徒歩8分,"14,400円～","1名 7,200円～",4.6,
ヴィラフォンテーヌ グランド 東京有明｜住友不動産,URLなし,りんかい線「国際展示場駅」徒歩6分、ゆりかもめ「有明駅」徒歩4分。首都高湾岸線有明ランプより3分。,"13,720円～","1名 6,860円～",4.3,
ホテル ザ セレスティン東京芝,URLなし,品川よりタクシーで約10分　地下鉄三田線 芝公園駅 A2出口より徒歩1分、浅草線三田駅A8出口より徒歩3分,"24,460円～","1名 12,230円～",4.9,
